lambda ion Z num_e gl gu fosc P
228.301 "V V" 23 19 4 2 0.67 6.2
228.628 CaVI 20 15 4 6 0.1 7.7
228.825 "O III" 8 6 1 3 0.00479 8.97
228.852 NeIII 10 8 5 3 0.000802 7.35
228.876 NeIII 10 8 5 5 0.012 8.53
228.909 TiV 22 18 1 3 0.097 6.28
228.916 NeIII 10 8 5 7 0.0674 9.28
229.431 HeII 2 1 2 6 0.000921 10.31
229.734 CaVI 20 15 4 4 0.0665 7.52
229.736 HeII 2 1 2 6 0.0012 10.43
229.869 NaIII 11 9 4 2 0.0125 6.77
229.99 FeX 26 17 4 2 0.00083 6.79
230.089 FeX 26 17 4 4 0.000202 6.18
230.105 "F III" 9 7 4 2 0.0262 5.26
230.113 "F III" 9 7 4 4 0.0524 5.56
230.117 "F III" 9 7 4 6 0.0785 5.74
230.139 HeII 2 1 2 6 0.0016 10.56
230.495 CaVI 20 15 4 2 0.0331 7.22
230.686 HeII 2 1 2 6 0.00222 10.7
230.765 "N III" 7 5 2 4 0.000453 7.07
230.789 "N III" 7 5 2 2 0.000906 7.37
231.4 "P XI" 15 5 2 4 0.0512 6.64
231.454 HeII 2 1 2 6 0.00319 10.86
231.52 FeX 26 17 4 4 0.00272 7.31
231.693 FeVII 26 20 5 7 0.00711 7.73
231.7333 MgIII 12 10 1 3 0.239 9.32
231.884 FeVIII 26 19 4 6 0.0137 8.01
232.047 FeVII 26 20 5 7 0.00524 7.59
232.442 FeVII 26 20 5 5 0.0568 8.63
232.584 HeII 2 1 2 6 0.00482 11.04
233.449 SiVIII 14 7 4 4 1.2e-06 4.0
233.481 SiVIII 14 7 4 6 1.37e-07 3.05
233.599 "N III" 7 5 2 4 0.000691 7.26
233.62 "N III" 7 5 2 2 0.00138 7.56
233.762 FeVII 26 20 5 5 0.0184 8.14
234.153 NiXXVI 28 3 2 2 0.0164 6.83
234.174 MgVI 12 7 4 2 1.06e-05 4.97
234.25 "P XI" 15 5 2 2 0.0834 6.86
234.2631 MgIII 12 10 1 3 0.011 7.99
234.347 HeII 2 1 2 6 0.0078 11.25
234.356 FeX 26 17 4 6 0.00027 6.31
234.41 CoXV 27 13 2 4 0.14 6.43
234.84 ClXI 17 7 4 2 0.0306 6.13
235.221 FeVII 26 20 5 3 0.0988 8.88
235.252 MgVI 12 7 4 4 4.66e-05 5.62
236.27 ArXIII 18 6 1 3 0.0579 7.7
237.331 HeII 2 1 2 6 0.0139 11.51
237.42 ClXI 17 7 4 4 0.0601 6.42
237.5 "V VII" 23 17 4 2 0.355 5.95
237.7 ClXIV 17 4 1 3 0.221 6.99
237.994 "N III" 7 5 2 4 0.000863 7.36
238.034 "N III" 7 5 2 2 0.00172 7.66
238.1 NeIII 10 8 5 3 0.0113 8.52
238.36 "O IV" 8 5 2 4 0.504 11.01
238.56 NiXXV 28 4 1 3 0.0021 5.95
238.617 MnVII 25 19 4 6 0.041 6.52
239.42 CoXV 27 13 2 2 0.11 6.33
239.508 NiXVI 28 13 2 2 0.224 7.98
239.81 "S XI" 16 6 1 3 0.0705 8.5
240.017 "F IV" 9 6 1 3 0.0801 5.76
240.22 "V VIII" 23 16 5 5 0.72 6.26
240.423 "V XXI" 23 3 2 4 0.0498 5.1
240.546 "F III" 9 7 4 6 0.00715 4.72
240.713 FeXIII 26 14 1 3 0.203 9.2
240.735 "F III" 9 7 4 4 0.00477 4.54
